"filename", "language", "JSON", "TypeScript", "SCSS", "TypeScript JSX", "XML", "Markdown", "HTML", "Properties", "JavaScript", "comment", "blank", "total"
"d:\web\2023\my\learnmate\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\web\2023\my\learnmate\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"d:\web\2023\my\learnmate\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\web\2023\my\learnmate\index.html", "HTML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 28
"d:\web\2023\my\learnmate\package-lock.json", "JSON", 11262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11263
"d:\web\2023\my\learnmate\package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\web\2023\my\learnmate\public\browserconfig.xml", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\web\2023\my\learnmate\public\manifest.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41
"d:\web\2023\my\learnmate\src\App.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 14, 94
"d:\web\2023\my\learnmate\src\components\Banner.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"d:\web\2023\my\learnmate\src\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"d:\web\2023\my\learnmate\src\components\Checkbox.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 9, 55
"d:\web\2023\my\learnmate\src\components\Description.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\web\2023\my\learnmate\src\components\Flex.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"d:\web\2023\my\learnmate\src\components\Input.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 14, 97
"d:\web\2023\my\learnmate\src\components\Modal\DeleteStudentModal.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"d:\web\2023\my\learnmate\src\components\Modal\LearnModal.tsx", "TypeScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 0, 1, 16, 159
"d:\web\2023\my\learnmate\src\components\Modal\Lesson.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 12, 72
"d:\web\2023\my\learnmate\src\components\Modal\Modal.scss", "SCSS", 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 65, 391
"d:\web\2023\my\learnmate\src\components\Modal\ModalLayout.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 10, 47
"d:\web\2023\my\learnmate\src\components\Modal\NewStudentModal.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 13, 95
"d:\web\2023\my\learnmate\src\components\Modal\Select.tsx", "TypeScript JSX", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 18, 111
"d:\web\2023\my\learnmate\src\components\Modal\Time.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\web\2023\my\learnmate\src\components\Radio.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"d:\web\2023\my\learnmate\src\components\Sidebar\Sidebar.scss", "SCSS", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 16, 89
"d:\web\2023\my\learnmate\src\components\Sidebar\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"d:\web\2023\my\learnmate\src\components\Switch.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 12, 65
"d:\web\2023\my\learnmate\src\dates\dates.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\web\2023\my\learnmate\src\hooks\useActions.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\web\2023\my\learnmate\src\hooks\useAppSelector.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\web\2023\my\learnmate\src\hooks\useDocumentTitle.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\web\2023\my\learnmate\src\hooks\useInput.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"d:\web\2023\my\learnmate\src\hooks\useValidation.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\web\2023\my\learnmate\src\icons\arrow_down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\arrow_left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\arrow_long.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\at.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\blocks.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\book.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\calendar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\carets.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\web\2023\my\learnmate\src\icons\checkmark.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\edit.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\group.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\list.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\lock.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\payment.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\plus.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\table.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\trash.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\user.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\visibility-off.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\web\2023\my\learnmate\src\icons\visibility.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
